[Mon Apr 20 03:55:42 PM EDT 2026] GPU=1 model=phi_4_mini_reasoning dataset=arc_challenge strategy=zero_shot max_new_tokens=256

--- model=phi_4_mini_reasoning dataset=arc_challenge strategy=zero_shot n=500 ---
[1/500] sample_id=4 correct=0 latency=4.497s tokens=256 tps=56.92
[2/500] sample_id=10 correct=0 latency=4.058s tokens=256 tps=63.09
[3/500] sample_id=11 correct=1 latency=4.080s tokens=256 tps=62.74
[4/500] sample_id=12 correct=0 latency=4.084s tokens=256 tps=62.68
[5/500] sample_id=14 correct=0 latency=4.065s tokens=256 tps=62.98
[6/500] sample_id=16 correct=0 latency=4.049s tokens=256 tps=63.23
[7/500] sample_id=17 correct=0 latency=4.078s tokens=256 tps=62.78
[8/500] sample_id=18 correct=1 latency=4.080s tokens=256 tps=62.75
[9/500] sample_id=19 correct=0 latency=4.073s tokens=256 tps=62.85
[10/500] sample_id=22 correct=1 latency=4.073s tokens=256 tps=62.85
[11/500] sample_id=26 correct=0 latency=4.080s tokens=256 tps=62.75
[12/500] sample_id=30 correct=0 latency=4.078s tokens=256 tps=62.78
[13/500] sample_id=31 correct=0 latency=4.074s tokens=256 tps=62.84
[14/500] sample_id=33 correct=0 latency=4.075s tokens=256 tps=62.82
[15/500] sample_id=34 correct=0 latency=4.073s tokens=256 tps=62.85
[16/500] sample_id=35 correct=1 latency=4.079s tokens=256 tps=62.76
[17/500] sample_id=37 correct=0 latency=4.072s tokens=256 tps=62.87
[18/500] sample_id=38 correct=0 latency=4.073s tokens=256 tps=62.86
[19/500] sample_id=41 correct=1 latency=4.058s tokens=256 tps=63.09
[20/500] sample_id=43 correct=0 latency=4.073s tokens=256 tps=62.85
[21/500] sample_id=44 correct=0 latency=4.079s tokens=256 tps=62.76
[22/500] sample_id=46 correct=0 latency=4.052s tokens=256 tps=63.18
[23/500] sample_id=48 correct=0 latency=4.063s tokens=256 tps=63.01
[24/500] sample_id=49 correct=1 latency=4.065s tokens=256 tps=62.98
[25/500] sample_id=50 correct=0 latency=4.071s tokens=256 tps=62.88
[26/500] sample_id=53 correct=0 latency=4.069s tokens=256 tps=62.92
[27/500] sample_id=56 correct=0 latency=4.088s tokens=256 tps=62.63
[28/500] sample_id=57 correct=1 latency=4.080s tokens=256 tps=62.75
[29/500] sample_id=64 correct=0 latency=4.085s tokens=256 tps=62.67
[30/500] sample_id=66 correct=1 latency=4.082s tokens=256 tps=62.72
[31/500] sample_id=67 correct=0 latency=4.084s tokens=256 tps=62.69
[32/500] sample_id=68 correct=0 latency=4.073s tokens=256 tps=62.85
[33/500] sample_id=73 correct=0 latency=4.075s tokens=256 tps=62.82
[34/500] sample_id=76 correct=0 latency=4.090s tokens=256 tps=62.59
[35/500] sample_id=78 correct=0 latency=4.085s tokens=256 tps=62.68
[36/500] sample_id=80 correct=0 latency=4.067s tokens=256 tps=62.94
[37/500] sample_id=81 correct=0 latency=4.044s tokens=256 tps=63.30
[38/500] sample_id=84 correct=0 latency=4.074s tokens=256 tps=62.84
[39/500] sample_id=87 correct=0 latency=4.080s tokens=256 tps=62.75
[40/500] sample_id=89 correct=0 latency=4.059s tokens=256 tps=63.07
[41/500] sample_id=90 correct=1 latency=4.049s tokens=256 tps=63.23
[42/500] sample_id=91 correct=0 latency=4.082s tokens=256 tps=62.71
[43/500] sample_id=92 correct=0 latency=4.077s tokens=256 tps=62.79
[44/500] sample_id=97 correct=0 latency=4.074s tokens=256 tps=62.83
[45/500] sample_id=98 correct=0 latency=4.077s tokens=256 tps=62.79
[46/500] sample_id=101 correct=0 latency=4.074s tokens=256 tps=62.83
[47/500] sample_id=103 correct=0 latency=4.062s tokens=256 tps=63.02
[48/500] sample_id=104 correct=0 latency=4.069s tokens=256 tps=62.91
[49/500] sample_id=107 correct=0 latency=4.081s tokens=256 tps=62.73
[50/500] sample_id=112 correct=1 latency=4.079s tokens=256 tps=62.75
[51/500] sample_id=113 correct=1 latency=4.066s tokens=256 tps=62.96
[52/500] sample_id=115 correct=0 latency=4.073s tokens=256 tps=62.85
[53/500] sample_id=116 correct=0 latency=4.073s tokens=256 tps=62.86
[54/500] sample_id=117 correct=0 latency=4.057s tokens=256 tps=63.10
[55/500] sample_id=119 correct=0 latency=4.046s tokens=256 tps=63.27
[56/500] sample_id=120 correct=1 latency=4.039s tokens=256 tps=63.37
[57/500] sample_id=121 correct=1 latency=4.057s tokens=256 tps=63.10
