TAG: revision_full500_v1
====================================================================================================
Prepared dataset sizes used:
  - arc_challenge: 500
  - gsm8k: 500
  - math_l1_l3: 238
  - truthfulqa_mc1: 500

Top 10 weighted results under paper_original weights:
requested_model_name actual_model_name     strategy  weighted_accuracy  mean_latency_sec_across_tasks  mean_vram_gb_across_tasks  mean_flops_per_token
     gemma_4_26b_a4b   gemma_4_26b_a4b    zero_shot           0.783583                       7.087543                  48.067372                   NaN
         gemma_4_e4b       gemma_4_e4b few_shot_cot           0.754183                       3.793646                  14.894491                   NaN
         gemma_4_e4b       gemma_4_e4b          cot           0.752420                       4.840487                  14.894491                   NaN
         gemma_4_e4b       gemma_4_e4b    zero_shot           0.752276                       4.386368                  14.894491                   NaN
     gemma_4_26b_a4b   gemma_4_26b_a4b          cot           0.741057                       8.401336                  48.067372                   NaN
            qwen3_8b          qwen3_8b few_shot_cot           0.720378                       7.272223                  15.256452                   NaN
     gemma_4_26b_a4b   gemma_4_26b_a4b few_shot_cot           0.709429                      10.403568                  48.067372                   NaN
         gemma_4_e2b       gemma_4_e2b few_shot_cot           0.691723                       5.917591                   9.543149                   NaN
       qwen3_30b_a3b     qwen3_30b_a3b few_shot_cot           0.678294                      14.090466                  57.620533                   NaN
         gemma_4_e2b       gemma_4_e2b    zero_shot           0.661894                       5.197454                   9.543149                   NaN

Top model under each weighting scheme:
              scheme requested_model_name     strategy  weighted_accuracy
           arc_heavy      gemma_4_26b_a4b    zero_shot           0.841355
       equal_weights      gemma_4_26b_a4b    zero_shot           0.796819
         gsm8k_heavy      gemma_4_26b_a4b    zero_shot           0.773719
          math_heavy      gemma_4_26b_a4b    zero_shot           0.743366
no_truthfulqa_renorm      gemma_4_26b_a4b    zero_shot           0.798426
      paper_original      gemma_4_26b_a4b    zero_shot           0.783583
    truthfulqa_heavy             qwen3_8b few_shot_cot           0.861889

Direct comparison vs original paper rows:
requested_model_name   dataset_name     strategy  orig_n  orig_accuracy   n  accuracy  accuracy_delta
     gemma_4_26b_a4b  arc_challenge          cot     100           0.96 500  0.858000       -0.102000
         gemma_4_e2b  arc_challenge          cot     100           0.75 500  0.766000        0.016000
         gemma_4_e4b  arc_challenge          cot     100           0.67 500  0.878000        0.208000
phi_4_mini_reasoning  arc_challenge          cot     100           0.27 500  0.248000       -0.022000
     phi_4_reasoning  arc_challenge          cot     100           0.30 500  0.268000       -0.032000
       qwen3_30b_a3b  arc_challenge          cot     100           0.25 500  0.372000        0.122000
            qwen3_8b  arc_challenge          cot     100           0.24 500  0.312000        0.072000
     gemma_4_26b_a4b  arc_challenge few_shot_cot     100           0.96 500  0.912000       -0.048000
         gemma_4_e2b  arc_challenge few_shot_cot     100           0.75 500  0.730000       -0.020000
         gemma_4_e4b  arc_challenge few_shot_cot     100           0.90 500  0.884000       -0.016000
phi_4_mini_reasoning  arc_challenge few_shot_cot     100           0.25 500  0.270000        0.020000
     phi_4_reasoning  arc_challenge few_shot_cot     100           0.30 500  0.246000       -0.054000
       qwen3_30b_a3b  arc_challenge few_shot_cot     100           0.27 500  0.450000        0.180000
            qwen3_8b  arc_challenge few_shot_cot     100           0.25 500  0.508000        0.258000
     gemma_4_26b_a4b  arc_challenge    zero_shot     100           0.96 500  0.922000       -0.038000
         gemma_4_e2b  arc_challenge    zero_shot     100           0.75 500  0.762000        0.012000
         gemma_4_e4b  arc_challenge    zero_shot     100           0.67 500  0.906000        0.236000
phi_4_mini_reasoning  arc_challenge    zero_shot     100           0.27 500  0.248000       -0.022000
     phi_4_reasoning  arc_challenge    zero_shot     100           0.30 500  0.274000       -0.026000
       qwen3_30b_a3b  arc_challenge    zero_shot     100           0.25 500  0.384000        0.134000
            qwen3_8b  arc_challenge    zero_shot     100           0.24 500  0.404000        0.164000
     gemma_4_26b_a4b          gsm8k          cot     100           0.28 500  0.754000        0.474000
         gemma_4_e2b          gsm8k          cot     100           0.24 500  0.656000        0.416000
         gemma_4_e4b          gsm8k          cot     100           0.34 500  0.784000        0.444000
phi_4_mini_reasoning          gsm8k          cot     100           0.02 500  0.180000        0.160000
     phi_4_reasoning          gsm8k          cot     100           0.67 500  0.020000       -0.650000
       qwen3_30b_a3b          gsm8k          cot     100           0.04 500  0.740000        0.700000
            qwen3_8b          gsm8k          cot     100           0.01 500  0.776000        0.766000
     gemma_4_26b_a4b          gsm8k few_shot_cot     100           0.68 500  0.684000        0.004000
         gemma_4_e2b          gsm8k few_shot_cot     100           0.46 500  0.718000        0.258000
         gemma_4_e4b          gsm8k few_shot_cot     100           0.67 500  0.738000        0.068000
phi_4_mini_reasoning          gsm8k few_shot_cot     100           0.08 500  0.316000        0.236000
     phi_4_reasoning          gsm8k few_shot_cot     100           0.11 500  0.018000       -0.092000
       qwen3_30b_a3b          gsm8k few_shot_cot     100           0.07 500  0.762000        0.692000
            qwen3_8b          gsm8k few_shot_cot     100           0.28 500  0.812000        0.532000
     gemma_4_26b_a4b          gsm8k    zero_shot     100           0.31 500  0.780000        0.470000
         gemma_4_e2b          gsm8k    zero_shot     100           0.28 500  0.674000        0.394000
         gemma_4_e4b          gsm8k    zero_shot     100           0.40 500  0.772000        0.372000
phi_4_mini_reasoning          gsm8k    zero_shot     100           0.01 500  0.150000        0.140000
     phi_4_reasoning          gsm8k    zero_shot     100           0.66 500  0.032000       -0.628000
       qwen3_30b_a3b          gsm8k    zero_shot     100           0.03 500  0.752000        0.722000
            qwen3_8b          gsm8k    zero_shot     100           0.01 500  0.770000        0.760000
     gemma_4_26b_a4b     math_l1_l3          cot     100           0.24 238  0.642857        0.402857
         gemma_4_e2b     math_l1_l3          cot     100           0.22 238  0.579832        0.359832
         gemma_4_e4b     math_l1_l3          cot     100           0.37 238  0.668067        0.298067
phi_4_mini_reasoning     math_l1_l3          cot     100           0.06 238  0.222689        0.162689
       qwen3_30b_a3b     math_l1_l3          cot     100           0.02 238  0.567227        0.547227
            qwen3_8b     math_l1_l3          cot     100           0.00 238  0.247899        0.247899
     gemma_4_26b_a4b     math_l1_l3 few_shot_cot     100           0.39 238  0.571429        0.181429
         gemma_4_e2b     math_l1_l3 few_shot_cot     100           0.36 238  0.689076        0.329076
         gemma_4_e4b     math_l1_l3 few_shot_cot     100           0.49 238  0.693277        0.203277
phi_4_mini_reasoning     math_l1_l3 few_shot_cot     100           0.08 238  0.390756        0.310756
       qwen3_30b_a3b     math_l1_l3 few_shot_cot     100           0.15 238  0.617647        0.467647
            qwen3_8b     math_l1_l3 few_shot_cot     100           0.21 238  0.651261        0.441261
