dataset,strategy,mean_strict_acc,mean_diagnostic_lenient_acc,mean_missing_prediction_rate,mean_final_hash_answer_rate,mean_bare_letter_response_rate,mean_think_tag_rate,mean_latency_sec,total_error_rows
arc_challenge,cot_rationale_final_letter,0.8925,0.92,0.0735,0.9265,0.0,0.27649999999999997,12.089690428091213,0
arc_challenge,few_shot_cot_rationale_final_letter,0.8225,0.858,0.0985,0.9015,0.0,0.2745,7.955550121223554,0
arc_challenge,orig_cot_answer_only,0.579,0.729,0.0325,0.0,0.3925,0.47150000000000003,3.294242063736543,0
arc_challenge,orig_few_shot_cot_answer_only,0.6375,0.6955,0.0055000000000000005,0.3555,0.2515,0.4085,3.2363458796292544,0
arc_challenge,orig_zero_shot_answer_only,0.6265000000000001,0.788,0.015,0.0,0.381,0.4255,3.2977623711470514,0
truthfulqa_mc1,cot_rationale_final_letter,0.661,0.793,0.238,0.762,0.0,0.34299999999999997,12.921236410412938,0
truthfulqa_mc1,few_shot_cot_rationale_final_letter,0.662,0.79,0.253,0.747,0.0,0.3325,8.095032378623262,0
truthfulqa_mc1,orig_cot_answer_only,0.8405,0.621,0.08549999999999999,0.0,0.2515,0.475,3.8583820263911037,0
truthfulqa_mc1,orig_few_shot_cot_answer_only,0.887,0.626,0.015000000000000001,0.004,0.4375,0.47350000000000003,2.997944049987942,0
truthfulqa_mc1,orig_zero_shot_answer_only,0.8705,0.687,0.0365,0.0,0.3525,0.4405,3.1554988562110813,0
