model,dataset,comparison,old_strict_acc,new_strict_finalline_acc,delta_new_minus_old_strict,old_lenient_acc,new_lenient_acc,delta_new_minus_old_lenient,old_missing_prediction_rate,new_missing_prediction_rate,new_final_hash_answer_rate,old_bare_letter_response_rate,new_bare_letter_response_rate,old_think_tag_rate,new_think_tag_rate,old_mean_latency_sec,new_mean_latency_sec
gemma_4_26b_a4b,arc_challenge,orig_cot_answer_only -> cot_rationale_final_letter,0.858,0.956,0.098,0.804,0.956,0.152,0.104,0.014,0.986,0.512,0.0,0.0,0.0,2.5102835697084664,13.87298912524432
gemma_4_26b_a4b,arc_challenge,orig_few_shot_cot_answer_only -> few_shot_cot_rationale_final_letter,0.912,0.854,-0.058,0.936,0.878,-0.058,0.0,0.112,0.888,0.016,0.0,0.0,0.0,2.5720862739831207,7.8684929011464115
gemma_4_26b_a4b,truthfulqa_mc1,orig_cot_answer_only -> cot_rationale_final_letter,0.75,0.882,0.132,0.742,0.886,0.144,0.132,0.006,0.994,0.196,0.0,0.0,0.0,2.5046011863797903,13.600370238952339
gemma_4_26b_a4b,truthfulqa_mc1,orig_few_shot_cot_answer_only -> few_shot_cot_rationale_final_letter,0.82,0.876,0.056,0.81,0.882,0.072,0.034,0.01,0.99,0.672,0.0,0.0,0.0,1.7315471309050918,6.500816542342305
gemma_4_e4b,arc_challenge,orig_cot_answer_only -> cot_rationale_final_letter,0.878,0.932,0.054,0.886,0.936,0.05,0.018,0.012,0.988,0.944,0.0,0.0,0.0,0.6479623616039752,16.683768944978713
gemma_4_e4b,arc_challenge,orig_few_shot_cot_answer_only -> few_shot_cot_rationale_final_letter,0.884,0.784,-0.1,0.836,0.802,-0.034,0.002,0.054,0.946,0.924,0.0,0.0,0.0,0.7113674516603351,6.934927269510925
gemma_4_e4b,truthfulqa_mc1,orig_cot_answer_only -> cot_rationale_final_letter,0.628,0.73,0.102,0.59,0.768,0.178,0.206,0.056,0.944,0.714,0.0,0.0,0.0,2.8262801883667708,18.644742200866343
gemma_4_e4b,truthfulqa_mc1,orig_few_shot_cot_answer_only -> few_shot_cot_rationale_final_letter,0.742,0.786,0.044,0.74,0.814,0.074,0.024,0.044,0.956,0.974,0.0,0.0,0.0,0.3069331584647298,6.720058591164649
qwen3_8b,arc_challenge,orig_cot_answer_only -> cot_rationale_final_letter,0.312,0.818,0.506,0.404,0.886,0.482,0.008,0.158,0.842,0.096,0.0,0.904,0.13,5.159804010681808,7.228184861212969
qwen3_8b,arc_challenge,orig_few_shot_cot_answer_only -> few_shot_cot_rationale_final_letter,0.508,0.856,0.348,0.586,0.9,0.314,0.02,0.116,0.884,0.066,0.0,0.634,0.098,4.877230359300971,6.358009469106793
qwen3_8b,truthfulqa_mc1,orig_cot_answer_only -> cot_rationale_final_letter,0.99,0.506,-0.484,0.44,0.716,0.276,0.002,0.454,0.546,0.044,0.0,0.954,0.386,5.192242706246674,8.859071585007012
qwen3_8b,truthfulqa_mc1,orig_few_shot_cot_answer_only -> few_shot_cot_rationale_final_letter,0.986,0.562,-0.424,0.454,0.71,0.256,0.002,0.398,0.602,0.104,0.0,0.894,0.33,5.15284157294035,8.502308254338802
phi_4_reasoning,arc_challenge,orig_cot_answer_only -> cot_rationale_final_letter,0.268,0.864,0.596,0.822,0.902,0.08,0.0,0.11,0.89,0.018,0.0,0.982,0.976,4.858918312951922,10.57381878092885
phi_4_reasoning,arc_challenge,orig_few_shot_cot_answer_only -> few_shot_cot_rationale_final_letter,0.246,0.796,0.55,0.424,0.852,0.428,0.0,0.112,0.888,0.0,0.0,1.0,1.0,4.78469943357259,10.660770845130086
phi_4_reasoning,truthfulqa_mc1,orig_cot_answer_only -> cot_rationale_final_letter,0.994,0.526,-0.468,0.712,0.802,0.09,0.002,0.436,0.564,0.052,0.0,0.946,0.986,4.91040402457118,10.580761616826058
phi_4_reasoning,truthfulqa_mc1,orig_few_shot_cot_answer_only -> few_shot_cot_rationale_final_letter,1.0,0.424,-0.576,0.5,0.754,0.254,0.0,0.56,0.44,0.0,0.0,1.0,1.0,4.800454337641597,10.656946126647293
