model,dataset,strategy,n,strict_acc,strict_missing_prediction_rate,think_tag_rate,object_object_rate,diagnostic_lenient_acc,strict_parser_failures,recovered_correct_from_strict_missing,terminal_hash_answer_rate
phi_4_reasoning,arc_challenge,cot,238,0.29411764705882354,0.0,0.9915966386554622,0.0,0.819327731092437,0,0,
phi_4_reasoning,arc_challenge,few_shot_cot,238,0.2773109243697479,0.0,1.0,0.0,0.4579831932773109,0,0,
phi_4_reasoning,arc_challenge,zero_shot,238,0.3025210084033613,0.0,0.9495798319327731,0.0,0.8487394957983193,0,0,
phi_4_reasoning,gsm8k,cot,238,0.008403361344537815,0.9831932773109243,1.0,0.0,0.42436974789915966,234,99,0.0546218487394958
phi_4_reasoning,gsm8k,few_shot_cot,238,0.02100840336134454,0.9747899159663865,0.9915966386554622,0.0,0.5042016806722689,232,114,0.04201680672268908
phi_4_reasoning,gsm8k,zero_shot,238,0.04201680672268908,0.957983193277311,0.9747899159663865,0.0,0.4495798319327731,228,99,0.08403361344537816
phi_4_reasoning,math_l1_l3,cot,238,0.012605042016806723,0.0,0.9621848739495799,0.0,0.47058823529411764,0,0,0.10504201680672269
phi_4_reasoning,math_l1_l3,few_shot_cot,238,0.029411764705882353,0.0,0.9537815126050421,0.0,0.37815126050420167,0,0,0.08403361344537816
phi_4_reasoning,math_l1_l3,zero_shot,238,0.037815126050420166,0.0,0.9243697478991597,0.0,0.5126050420168067,0,0,0.11764705882352941
phi_4_reasoning,truthfulqa_mc1,cot,238,0.9957983193277311,0.0,0.9495798319327731,0.0,0.7521008403361344,0,0,
phi_4_reasoning,truthfulqa_mc1,few_shot_cot,238,1.0,0.0,1.0,0.0,0.44537815126050423,0,0,
phi_4_reasoning,truthfulqa_mc1,zero_shot,238,0.9957983193277311,0.0,0.9159663865546218,0.0,0.773109243697479,0,0,
