source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
journal_protocolfix_v1__gemma_4_26b_a4b__gsm8k__cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,cot,500,379,0.758,0.7185836488729677,0.7934821914488713,18.31529557772726,48.06737232208252,401.33,21.989618749269482
journal_protocolfix_v1__gemma_4_e2b__gsm8k__cot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,cot,500,332,0.664,0.62148722415566,0.704011992172951,5.4474676967486735,9.543148517608644,173.744,31.956802854175372
journal_protocolfix_v1__gemma_4_e4b__gsm8k__cot__n500.csv,gemma_4_e4b,gemma_4_e4b,gsm8k,cot,500,395,0.79,0.7521551530407022,0.8234227294915977,5.712309314712882,14.89453125,148.796,26.191084086297387
journal_protocolfix_v1__phi_4_mini_reasoning__gsm8k__cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,cot,500,225,0.45,0.40693965178133173,0.49382278226482357,24.7920426383391,7.145148277282715,1536.0,61.96309591853485
journal_protocolfix_v1__qwen3_30b_a3b__gsm8k__cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,cot,500,450,0.9,0.8705780903680599,0.9233224372626984,17.89090887841582,57.67033767700195,465.034,25.949359231930654
journal_protocolfix_v1__gemma_4_e2b__gsm8k__few_shot_cot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,few_shot_cot,500,365,0.73,0.6894413425907917,0.7670514607968943,4.8817052778378125,9.543148517608644,155.438,31.957421073911405
journal_protocolfix_v1__gemma_4_e4b__gsm8k__few_shot_cot__n500.csv,gemma_4_e4b,gemma_4_e4b,gsm8k,few_shot_cot,500,370,0.74,0.6998260397638378,0.7765142768146172,9.375303241588176,14.89453125,234.788,25.648284595362448
journal_protocolfix_v1__phi_4_mini_reasoning__gsm8k__few_shot_cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,few_shot_cot,500,358,0.716,0.6749440568762679,0.7537622280443415,25.905538509458303,7.145148277282715,1536.0,59.32735615911416
journal_protocolfix_v1__qwen3_30b_a3b__gsm8k__few_shot_cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,few_shot_cot,500,467,0.934,0.9087605988391466,0.9526214736402262,16.86462858324498,57.67326736450195,438.206,25.922510963645223
journal_protocolfix_v1__gemma_4_26b_a4b__gsm8k__zero_shot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,zero_shot,500,390,0.78,0.7416313019131544,0.8140990674283763,16.14609443706274,48.06737232208252,353.75,21.976233782948636
journal_protocolfix_v1__gemma_4_e2b__gsm8k__zero_shot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,zero_shot,500,339,0.678,0.6358218272211889,0.7174639075744986,4.8194933770895005,9.543148517608644,152.148,31.587347433752814
journal_protocolfix_v1__gemma_4_e4b__gsm8k__zero_shot__n500.csv,gemma_4_e4b,gemma_4_e4b,gsm8k,zero_shot,500,389,0.778,0.739530218085007,0.8122306486183701,5.834729545243085,14.89453125,146.906,25.33204367105908
journal_protocolfix_v1__phi_4_mini_reasoning__gsm8k__zero_shot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,zero_shot,500,261,0.522,0.4782154894135675,0.5654490396061242,25.321560902044176,7.145148277282715,1536.0,60.7933427745175
journal_protocolfix_v1__qwen3_30b_a3b__gsm8k__zero_shot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,zero_shot,500,456,0.912,0.8839235279346099,0.9337940155250711,17.738143486492337,57.67229080200195,445.236,25.089370071407213
journal_protocolfix_v1__gemma_4_26b_a4b__math_l1_l3__cot__n238.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,cot,238,154,0.6470588235294118,0.5844486155596158,0.7049972070935602,20.807498938928383,48.06737232208252,459.5420168067227,22.218872065490125
journal_protocolfix_v1__gemma_4_e2b__math_l1_l3__cot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,cot,238,141,0.592436974789916,0.5290212695534181,0.6529161046857211,12.809512329248696,9.543148517608644,400.12605042016804,31.590307265500346
journal_protocolfix_v1__gemma_4_e4b__math_l1_l3__cot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,cot,238,159,0.6680672268907563,0.6059879927587606,0.7248072331305833,12.872285078005756,14.89453125,330.06722689075633,26.05392672471062
journal_protocolfix_v1__phi_4_mini_reasoning__math_l1_l3__cot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,cot,238,87,0.36554621848739494,0.3069492152422019,0.42841460404632276,33.292735447183624,7.145148277282715,2048.0,61.51693051309392
journal_protocolfix_v1__qwen3_30b_a3b__math_l1_l3__cot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,cot,238,160,0.6722689075630253,0.6103113609924905,0.7287537455440872,33.05443593034787,57.67326736450195,870.6638655462185,26.290530751708516
journal_protocolfix_v1__gemma_4_e2b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,few_shot_cot,238,164,0.6890756302521008,0.6276581309844386,0.7444864981410734,9.883751206053029,9.543148517608644,304.46638655462186,31.158662068068555
journal_protocolfix_v1__gemma_4_e4b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,few_shot_cot,238,165,0.6932773109243697,0.6320084248855415,0.7484060848872041,10.07933903374404,14.89453125,250.42857142857142,25.205786354863708
journal_protocolfix_v1__phi_4_mini_reasoning__math_l1_l3__few_shot_cot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,few_shot_cot,238,128,0.5378151260504201,0.4743758013359928,0.6000531244891095,33.047842170244884,7.145148277282715,2048.0,61.97136386453511
journal_protocolfix_v1__qwen3_30b_a3b__math_l1_l3__few_shot_cot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,few_shot_cot,238,168,0.7058823529411765,0.6450929215154535,0.7601312301989929,27.426189979178314,57.66740798950195,716.6428571428571,26.066749495375074
journal_protocolfix_v1__gemma_4_26b_a4b__math_l1_l3__zero_shot__n238.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,zero_shot,238,165,0.6932773109243697,0.6320084248855415,0.7484060848872041,17.043574654911996,48.06737232208252,374.5126050420168,22.082290146859865
journal_protocolfix_v1__gemma_4_e2b__math_l1_l3__zero_shot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,zero_shot,238,150,0.6302521008403361,0.5673074889437856,0.689058811120456,15.0300625954919,9.543148517608644,467.07142857142856,31.486242902222497
journal_protocolfix_v1__gemma_4_e4b__math_l1_l3__zero_shot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,zero_shot,238,152,0.6386554621848739,0.5758681951921751,0.6970378661665335,15.902926213209744,14.89453125,403.5882352941176,25.873041230965903
journal_protocolfix_v1__phi_4_mini_reasoning__math_l1_l3__zero_shot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,zero_shot,238,92,0.3865546218487395,0.3269573397667012,0.44975588275799155,33.914476363880546,7.145148277282715,2048.0,60.39409453286607
journal_protocolfix_v1__qwen3_30b_a3b__math_l1_l3__zero_shot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,zero_shot,238,162,0.680672268907563,0.6189739790804714,0.7366308887505735,34.45940302512726,57.67229080200195,842.0168067226891,24.40246602138095
