model,strategy,math_only_mean_acc,rank
gemma_4_e4b,cot,0.7289915966386554,1
gemma_4_26b_a4b,cot,0.7121848739495799,2
qwen3_30b_a3b,cot,0.6659663865546218,3
gemma_4_e2b,cot,0.6323529411764706,4
qwen3_8b,cot,0.5336134453781513,5
phi_4_mini_reasoning,cot,0.21638655462184875,6
phi_4_reasoning,cot,0.01050420168067227,7
qwen3_8b,few_shot_cot,0.7289915966386554,1
gemma_4_e4b,few_shot_cot,0.7226890756302521,2
qwen3_30b_a3b,few_shot_cot,0.7100840336134454,3
gemma_4_e2b,few_shot_cot,0.6995798319327731,4
gemma_4_26b_a4b,few_shot_cot,0.6260504201680672,5
phi_4_mini_reasoning,few_shot_cot,0.3529411764705882,6
phi_4_reasoning,few_shot_cot,0.025210084033613446,7
gemma_4_26b_a4b,zero_shot,0.7436974789915967,1
gemma_4_e4b,zero_shot,0.7100840336134453,2
qwen3_30b_a3b,zero_shot,0.6827731092436975,3
gemma_4_e2b,zero_shot,0.6554621848739496,4
qwen3_8b,zero_shot,0.5042016806722689,5
phi_4_mini_reasoning,zero_shot,0.21638655462184875,6
phi_4_reasoning,zero_shot,0.03991596638655462,7
